Индекс,Автор,Ссылка,Название,Год,Средний_балл,Проголосовало,Баллы,Описание,Жанр
52,Кир Булычев,https://www.100bestbooks.ru/item_info.php?id=10808,Подземелье ведьм,1987,1.22,985,1204,"Вторая часть приключений Андрея Брюса Это истории о приключениях человека, который не любил приключений. Истории о подвигах героя, ненавидевшего геройство. Истории о космических странствиях легендарного агента КФ – Андрея Брюса, истории контактов с внеземными цивилизациями и войн с жестокимипришельцами – `чужими`. Истории, в которых есть все, что должно быть в действительно хорошей фантастике, – погони и сражения, дружба и отвага, блестящий юмор, точная, глубокая мысль – и свободный полет неподражаемой фантазии Кира Булычева…",Фантастика
54,Галина Щербакова,https://www.100bestbooks.ru/item_info.php?id=7419,Вам и не снилось (Роман и Юлька),1979,0.75,847,637,"В книгу Галины Щербаковой вошли повести, ставшие бестселлерами. Они о жизни подростков: о радостях и невзгодах первой любви, о сложных взаимоотношениях с родителями и учителями, о настоящей дружбе и предательстве... Рассказанные автором истории заставляют читателя улыбаться, плакать, размышлять о жизни и о себе.  Повесть была экранизирована режиссёром Ильей Фрэзом под названием «Вам и не снилось»",Повесть
55,Наталья Щерба,https://www.100bestbooks.ru/item_info.php?id=10128,Часодеи,2011,0.95,635,608,"Василиса — обычная земная девочка, живущая с бабушкой, — неожиданно узнает, что ее отец — влиятельный маг Эфлары, мира, построенного на особой часовой магии. Попав в страну часодеев, фей и лютов, Василиса оказывается в центре опасной игры. Даже друзья не могут понять, кто же она сама? Неумеха, ничего не знающая о своем происхождении? Шпионка, засланная отцом, чтобы заполучить трон? Или могущественная часовщица, которая умеет управлять временем и может спасти Землю и Эфлару от грядущего столкновения?",Фэнтези
58,Терри Пратчетт,https://www.100bestbooks.ru/item_info.php?id=17759,Джонни и бомба,1996,1.06,441,468,"Джонни Максвелл находит приключение на свою голову. Казалось бы, ну кому какое дело до старой безумной нищенки, померла и померла. Ну или если еще жива, так это ненадолго. Нет, надо проявить человеколюбие, знаете ли. А каков результат? Джонни и его друзья проваливаются в прошлое, в маленький английский городок аккурат перед тем, как эскадрилья немецких бомбардировщиков, сбившихся с пути, приветливо распахнули над ним свои бомболюки. Воистину, ни одно доброе дело не останется безнаказанным!",Фэнтези
61,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=21035,Путешествия и приключение капитана Гатерраса,1865,4.8,77,370,Об экспедиции на Северный полюс,Фантастика
65,Константин Бадигин,https://www.100bestbooks.ru/item_info.php?id=21016,Путь на Грумант,1953,4.37,51,223,"Об истории русского северного мореплавания, о шестилетней зимовке во льдах на архипелаге Грумант (Шпицберген), о природе Северного Ледовитого океана и Арктики",Роман
66,Джоди Пиколт,https://www.100bestbooks.ru/item_info.php?id=11356,Ангел для сестры,2004,2.38,78,186,"Анна не больна, но в свои тринадцать лет перенесла бесчисленное множество операций, переливаний, инъекций. И все для того, чтобы помочь сестре, больной лейкемией. Как сказали родители, для этого Анна и появилась на свет.  Но какой могла бы стать ее жизнь, не будь она привязана к сестре?… Анна решилась на шаг, который для многих людей был бы слишком сложен, и подала в суд на родителей, присвоивших право распоряжаться ее телом.",Современная проза
67,Юрий Вяземский,https://www.100bestbooks.ru/item_info.php?id=17892,Странные умники,2009,2.9,62,180,"Проза Юрия Вяземского необычна. Она поражает прежде всего особой тонкостью авторского мировосприятия, глубиной и точностью в постижении внутреннего мира человека. В большинстве своем рассказы Юрия Вяземского о молодых людях, о попытке проникновения их в тайны Вселенной и собственной души.",Повесть
68,Элис Сиболд,https://www.100bestbooks.ru/item_info.php?id=779,Милые кости,2002,0.37,364,136,"«Шестого декабря тысяча девятьсот семьдесят третьего года, когда меня убили, мне было четырнадцать лет» — так начинается самый поразительный бестселлер начала XXI века, трагическая история, написанная на невероятно светлой ноте. «Милые кости» переведены на сорок языков, разошлись многомиллионным тиражом. В этом романе Сюзи Сэлмон приспосабливается к жизни на небесах и наблюдает сверху, как ее убийца пытается замести следы, а семья — свыкнуться с утратой... ",Роман
72,Ренсом Риггз,https://www.100bestbooks.ru/item_info.php?id=19822,Дом странных детей,2012,3.32,34,113,"Шестнадцатилетний Джейкоб с детства привык к рассказам своего деда о его юности на далеком уэльском острове, в приюте для странных детей: о чудовищах с тройными языками, о невидимом мальчике, о летающей девочке… Единственным побочным эффектом этих выдумок были ночные кошмары, мучившие подростка. Но однажды кошмар ворвался в его жизнь, убив деда наяву…",Фэнтези
74,Джон Грин,https://www.100bestbooks.ru/item_info.php?id=12586,Виноваты звезды,2012,1.78,38,68,"Подростки, страдающие от тяжелой болезни, не собираются сдаваться.  Они по-прежнему остаются подростками — ядовитыми, неугомонными, взрывными, бунтующими, равно готовыми и к ненависти, и к любви.  Хейзел и Огастус бросают вызов судьбе.  Они влюблены друг в друга, их терзает не столько нависшая над ними тень смерти, сколько обычная ревность, злость и непонимание.  Они — вместе. Сейчас — вместе. Но что их ждет впереди?",Современная проза
75,Сесилия Ахерн,https://www.100bestbooks.ru/item_info.php?id=10100,"Не верю. Не надеюсь. Люблю (Там, где заканчивается радуга)",2004,0.47,136,65,"Почти пятьдесят лет жизни главных героев уместилось в эту книгу, состоящую из нескольких сотен писем.  Второй роман молодой ирландской писательницы Сесилии Ахерн — это история о том, сколько времени иногда требуется, чтобы найти свою настоящую любовь. Особенно, если она совсем рядом.",Современная проза
76,Лорен Оливер,https://www.100bestbooks.ru/item_info.php?id=10447,Прежде чем я упаду,2010,0.91,34,31,"Роман, снискавший читательскую любовь и ставший невероятно популярным во многих странах!  Предположим, вы сделали что-то очень плохое, но поняли это слишком поздно, когда уже ничего нельзя изменить. Предположим, вам все-таки дается шанс исправить содеянное, и вы повторяете попытку снова и снова, но каждый раз что-то не срабатывает, и это приводит вас в отчаяние. Именно в такой ситуации оказалась Саманта Кингстон, которой всегда все удавалось, и которая не знала никаких серьезных проблем. Пятница, 12 февраля, должно было стать просто еще одним днем в ее жизни. Но вышло так, что в этот день она умерла. Однако что-то удерживает Саманту среди живых, и она вынуждена проживать этот день снова и снова, мучительно пытаясь понять, как ей спасти свою жизнь, и открывая истинную ценность всего того, что она рискует потерять.  Впервые на русском языке! Роман, снискавший читательскую любовь и ставший невероятно популярным во многих странах!",Фантастика
78,Ринат Нуруллин,https://www.100bestbooks.ru/item_info.php?id=20923,Байки Юркого Кота,2017,4.0,6,24,http://rinatnurullin.ru/nurullin-r-g-bajki-yurkogo-kota/,Рассказ
82,Анна Кук,https://www.100bestbooks.ru/item_info.php?id=20997,Необычный подарок,2019,5.0,2,10,"Во первых это не просто книга, а настоящий подарок, который делается в единственном экземпляре!  О чем эта книга? Об удивительной способности ребенка превращать обычные вещи в уникальные предметы. История начинается с того, что ребенок на день рождения получает необычный подарок в виде БОЛЬШОЙ коробки. И с этого момента начинаются его приключения. Он отправляется в кругосветное путешествие на воздушном шаре, плавает на корабле, погружается в морские глубины на батискафе... Но это ещё не всё! Малыша ждет знакомство с новыми друзьями, поиски сокровищ и интересные квесты.⠀ Ребенок будет очень рад необычной книге с увлекательным сюжетом, красочными иллюстрациями и головоломками. Этот незабываемый подарок станет прекрасным дополнением семейной библиотеки⠀ Ознакомиться с книгой можно здесь: https://www.fairybooks.ru/birthdaybook/",Сказка
84,Канни Мёллер,https://www.100bestbooks.ru/item_info.php?id=18398,Баллада о Сандре Эс,1999,5.0,1,5,"Где взять мудрость чтобы не упустить любовь из-за недоразумения?Стоит ли запретить себе думать о прошлом и жить дальше, словно ничего не было?Насколько одному человеку позволено вторгаться в жизнь другого?На долю некоторых людей выпадают удивительные вещи. Это история искренней привязанности, первой любви и необычной дружбы между 19-летней Сандрой, одинокой в незнакомом городе, и 80-летней Юдит, по своей воле потерявшей связь с прошлым. Когда они встречаются, жизнь обретает привкус смелости, и приходит понимание истинно важного: что в жизни главное, а что – вторично.",О любви
86,Агота Криштоф,https://www.100bestbooks.ru/item_info.php?id=3214,Толстая тетрадь,1986,0.12,24,3,"Роман лауреата премии ""Лента франкофонии"" - дневник, написанный братьями-близнецами Клаусом и Лукасом. Жестокая, беспощадно-правдивая история о жесткой, беспощадно правдивой жизни. Оригинал романа написан на французском языке. Впервые произведение было издано в Швейцарии в 1986 году и сразу же с восторгом принято критиками. В дальнейшем автор расширила «Толстую тетрадь» до трилогии, опубликовав романы «Доказательство» и «Третья ложь» На русском языке произведение впервые издано в переводе Павла Вязникова в журнале «Иностранная литература» в 1997 году. Всего роман переведён на тридцать языков.",Роман
90,Салли Грин,https://www.100bestbooks.ru/item_info.php?id=20023,"Половинный код. Тот, кто убьет",2014,-0.75,4,-3,"Англия, наши дни. Рядом с ничего не подозревающими обычными людьми идет кровавая война. Война магов. Ее ведут от начала времен непримиримые враги – Черные колдуны и Белые ведьмы.  В мире, где нет места полутонам и оттенкам, 16-летний Натан Бирн – единственный в своем роде. Его отец - самый могущественный черный колдун, а мать – Белая ведьма.  Каждый год Совет Белых Ведьм подвергает Натана все более строгим ограничениям. Тихий протест юного колдуна превращается в яростный бунт, когда Совет запрещает ему видеться с возлюбленной - Белой ведьмой Анной-Лизой…  Но Натан готов пойти против воли Совета и рискнуть жизнью ради счастья быть с любимой! Между тем, в свой семнадцатый день рождения Натан должен обрести Дар. Иначе он умрет. ",Мистика
5,Александр Пушкин,https://www.100bestbooks.ru/item_info.php?id=5509,Руслан и Людмила,1820,2.24,3816,8581,"Поэма «Руслан и Людмила» была создана в период с 1817 по 1820 год. Это первое крупное произведение Александра Сергеевича Пушкина, поставившее его в ряд крупнейших русских писателей. Сюжет поэмы, ядро которого составляет похищение невесты и поиски её героем, соткан из традиционных ситуаций сказочных и волшебно-рыцарских произведений, частью переиначенных и пародированных. Об историко-литературном значении поэмы великолепно сказал Белинский: «Выход в свет „Руслана и Людмилы“ и возбужденные этою поэмою толки и споры о классицизме и романтизме были эпохою обновления русской литературы».",Детская литература
9,Вениамин Каверин,https://www.100bestbooks.ru/item_info.php?id=517,Два капитана,1938,1.48,4647,6900,"С детских лет Саня Григорьев умел добиваться успеха в любом деле. Он вырос мужественным и храбрым человеком. Мечта разыскать остатки экспедиции капитана Татаринова привела его в ряды летчиков—полярников. Жизнь капитана Григорьева полна героических событий: он летал над Арктикой, сражался против фашистов. Его подстерегали опасности, приходилось терпеть временные поражения, но настойчивый и целеустремленный характер героя помогает ему сдержать данную себе еще в детстве клятву: «Бороться и искать, найти ине сдаваться».",Роман
12,Александр Грин,https://www.100bestbooks.ru/item_info.php?id=540,Алые паруса,1916,1.26,5111,6482,"Александр Грин создал в своих произведениях свой особенный мир. В этом мире веет ветер дальних странствий, его населяют добрые, смелые, веселые люди. А в залитых солнцем гаванях с романтическими названиями — Лисс, Зурбаган, Гель-Гью — прекрасные девушки поджидают своих женихов. В этот мир — чуть приподнятый над нашим, одновременно фантастический и реальный, мы и приглашаем читателей.",Детская литература
14,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=328,Приключения Гекльберри Финна,1884,1.53,3977,6085,"Герой этой повести умен, добр, умеет по-настоящему дружить и знает цену людям. Свободолюбие, самостоятельность и сообразительность сделали Гека Финна одним из самых любимых героев подростков разных стран.",Приключения
15,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=44,Приключения Тома Сойера,1876,1.21,5001,6085,"Приключения Тома Сойера (англ. The Adventures Of Tom Sawyer) – замечательный, добрый и невероятно остроумный роман Марка Твена, на котором выросло не одно поколение детворы по всему миру. В книге рассказывается о проделках двух американских мальчишек. Писатель с большим мастерством рисует жизнь провинциального городка в Америке 40-х годов XIX века, что интересно, что вымышленному городу места действия автор дал имя… Санкт-Петербург. Интересный факт связан с процессом создания произведения. Сам Марк Твен утверждал в свое время, что это произведение было, по всей видимости, наиболее прогрессивным с точки зрения “процесса производства” – это первое литературное произведение, рукопись которого была напечатана на пишущей машинке (впрочем, не все исследователи с этим согласны).",Приключения
17,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=140,Таинственный остров,1874,1.53,3693,5655,"Во времена гражданской войны в США пятеро смельчаков-северян спасаются от плена на воздушном шаре. Страшная буря выбрасывает их на берег необитаемого острова. Отвага и таланты новых поселенцев острова помогают им обустроить свою жизнь, не испытывая нуждыни в еде, ни в одежде, ни в тепле и уюте. Мирное пребывание «робинзонов» на острове нарушает угроза нападения пиратов, но какая-то таинственная сила помогает им в самых сложных ситуациях.",Фантастика
21,Антон Макаренко,https://www.100bestbooks.ru/item_info.php?id=5374,Педагогическая поэма,1931,2.35,1803,4251,"«Педагогическая поэма» — широко известное и наиболее значительное произведение советского педагога и писателя А.С. Макаренко. В ней рассказывается о перевоспитании несовершеннолетних правонарушителей в детской трудовой колонии, создателем и руководителем которой в 20-е годы был автор. Книга адресована широкому кругу читателей. ",Роман
23,Анатолий Рыбаков,https://www.100bestbooks.ru/item_info.php?id=2329,Кортик,1947,1.72,2163,3721,"Герои Анатолия Рыбакова – обычные московские школьники. Наблюдательность и любопытство арбатских мальчишек Миши, Генки и Славки не дают им скучать, они предпочитают жизнь насыщенную и беспокойную. Загадка старинного кортика увлекает ребят в приключения, полные таинственных событий и опасностей.",Роман
28,Рэй Брэдбери,https://www.100bestbooks.ru/item_info.php?id=2442,Марсианские хроники,1950,1.78,1667,2978,"«Марсианские хроники»: странный изменчивый мир, населенный загадочными, неуловимыми обитателями…",Фантастика
29,Джоан Роулинг,https://www.100bestbooks.ru/item_info.php?id=8,Серия книг о Гарри Поттере,1997,0.36,7445,2749,"Серия из 7 книг о юном волшебнике Гарри Поттере.1) Гарри Поттер и философский камень (Harry Potter and the Philosopher's Stone), 19972) Гарри Поттер и тайная комната (Harry Potter and the Chamber of Secrets), 19983) Гарри Поттер и узник Азкабана (Harry Potter and the Prisoner of Azkaban), 19994) Гарри Поттер и Кубок огня (Harry Potter and the Goblet of Fire), 20005) Гарри Поттер и Орден Феникса (Harry Potter and the Order of the Phoenix), 20036) Гарри Поттер и Принц-полукровка (Harry Potter and the Half-Blood Prince), 20057) Гарри Поттер и Дары Смерти (Harry Potter and the Deathly Hallows), 2007",Детская литература
33,Уильям Голдинг,https://www.100bestbooks.ru/item_info.php?id=470,Повелитель мух,1954,1.49,1494,2231,"Роман-антиутопия, повествующий о группе детей, оказавшихся на необитаемом острове после автокатастрофы. Автор раскрывает схему социального взаимодействия людей, у которых еще не сформировались понятия о добре- зле, справедливости и пр.  Порою эта незрелость приводит к неоправданной жестокости. При этом, все действие пронизано глубоким символизмом (жертвоприношение, своя ""Религия"" и т.д.) За этот роман Голдинг был удостоен Нобелевской премии по литературе.",Психология
34,Валентин Пикуль,https://www.100bestbooks.ru/item_info.php?id=5551,Мальчики с бантиками,1985,2.27,969,2205,"«Мальчики с бантиками» – автобиографическая повесть о жизни обитателей Соловецких островов в стенах Школы юнг, где автор выступает в роли главного героя под именем Савки Огурцова.",Детская литература
45,Валентина Осеева,https://www.100bestbooks.ru/item_info.php?id=832,Динка,1959,1.4,788,1110,"В книге, ставшей любимой для многих поколений детей, рассказывается о детстве Динки, о ее крепкой дружбе с сиротой Ленькой и приключениях, которые они вместе переживают. Добрая и искренняя, взбалмошная и неугомонная Динка навсегда притягивает и очаровывает читателя. ",Приключения
46,Джон Толкиен,https://www.100bestbooks.ru/item_info.php?id=2352,"Хоббит, или Туда и обратно",1937,0.29,3160,932,"Повесть – сказка Дж. Р. Р. Толкина `Хоббит` является своего рода вступлением к трилогии `Властелин Колец`. Смешная и увлекательная, первоначально адресованная детям, она тем не менее вводит нас в сложный и многообразный толкиновский мир, подробно описанный на страницах трилогии. Предлагаемый читателю перевод выполнен с максимальным учетом связей между повестью и трилогией. Перевод снабжен подробными комментариями, раскрывающими лингвистические, мифологические и философские аспекты мира Толкина.",Фэнтези
47,Диана Сеттерфилд,https://www.100bestbooks.ru/item_info.php?id=3243,Тринадцатая сказка,2006,1.47,436,641,"Впервые на русском – «Тринадцатая сказка» Дианы Сеттерфилд – признанный шедевр современной английской прозы, книга, открывшая для широкой публики жанр «неоготики» и заставившая англо-американских критиков заговорить о возвращении золотого века британского романа, овеянного именами Шарлотты Бронте и Дафны дю Морье. Дебютный роман скромной учительницы, права на который были куплены за небывалые для начинающего автора деньги (800 тысяч фунтов за британское издание, миллион долларов – за американское), обогнал по продажам бестселлеры последних лет, был моментально переведен на несколько десятков языков и удостоился от рецензентов почетного имени «новой „Джейн Эйр”».",Роман
58,Терри Пратчетт,https://www.100bestbooks.ru/item_info.php?id=17759,Джонни и бомба,1996,1.06,441,468,"Джонни Максвелл находит приключение на свою голову. Казалось бы, ну кому какое дело до старой безумной нищенки, померла и померла. Ну или если еще жива, так это ненадолго. Нет, надо проявить человеколюбие, знаете ли. А каков результат? Джонни и его друзья проваливаются в прошлое, в маленький английский городок аккурат перед тем, как эскадрилья немецких бомбардировщиков, сбившихся с пути, приветливо распахнули над ним свои бомболюки. Воистину, ни одно доброе дело не останется безнаказанным!",Юмор
68,Элис Сиболд,https://www.100bestbooks.ru/item_info.php?id=779,Милые кости,2002,0.37,364,136,"«Шестого декабря тысяча девятьсот семьдесят третьего года, когда меня убили, мне было четырнадцать лет» — так начинается самый поразительный бестселлер начала XXI века, трагическая история, написанная на невероятно светлой ноте. «Милые кости» переведены на сорок языков, разошлись многомиллионным тиражом. В этом романе Сюзи Сэлмон приспосабливается к жизни на небесах и наблюдает сверху, как ее убийца пытается замести следы, а семья — свыкнуться с утратой... ",Современная проза
72,Ренсом Риггз,https://www.100bestbooks.ru/item_info.php?id=19822,Дом странных детей,2012,3.32,34,113,"Шестнадцатилетний Джейкоб с детства привык к рассказам своего деда о его юности на далеком уэльском острове, в приюте для странных детей: о чудовищах с тройными языками, о невидимом мальчике, о летающей девочке… Единственным побочным эффектом этих выдумок были ночные кошмары, мучившие подростка. Но однажды кошмар ворвался в его жизнь, убив деда наяву…",Хоррор
78,Ринат Нуруллин,https://www.100bestbooks.ru/item_info.php?id=20923,Байки Юркого Кота,2017,4.0,6,24,http://rinatnurullin.ru/nurullin-r-g-bajki-yurkogo-kota/,Фантастика
81,Валерий Попов,https://www.100bestbooks.ru/item_info.php?id=18939,Все мы не красавцы,2012,2.6,5,13,"Валерий Попов (р. 1939) рассказывает о своём герое (школьнике, затем студенте и, наконец, молодом инженере) весело, но заботы этого героя — самые настоящие: отношения с одноклассниками, первая любовь, поиски призвания. Стиль Валерия Попова — это гротеск, парадокс обыденности, умение видеть под другим углом зрения привычные явления и давно знакомых людей, выявляя их индивидуальность , неповторимость. А еще рассказы Валерия Попова — это заряд позитивного отношения к дару жизни, к любому ее проявлению. ",Детская литература
84,Канни Мёллер,https://www.100bestbooks.ru/item_info.php?id=18398,Баллада о Сандре Эс,1999,5.0,1,5,"Где взять мудрость чтобы не упустить любовь из-за недоразумения?Стоит ли запретить себе думать о прошлом и жить дальше, словно ничего не было?Насколько одному человеку позволено вторгаться в жизнь другого?На долю некоторых людей выпадают удивительные вещи. Это история искренней привязанности, первой любви и необычной дружбы между 19-летней Сандрой, одинокой в незнакомом городе, и 80-летней Юдит, по своей воле потерявшей связь с прошлым. Когда они встречаются, жизнь обретает привкус смелости, и приходит понимание истинно важного: что в жизни главное, а что – вторично.",Проза
5,Александр Пушкин,https://www.100bestbooks.ru/item_info.php?id=5509,Руслан и Людмила,1820,2.24,3816,8581,"Поэма «Руслан и Людмила» была создана в период с 1817 по 1820 год. Это первое крупное произведение Александра Сергеевича Пушкина, поставившее его в ряд крупнейших русских писателей. Сюжет поэмы, ядро которого составляет похищение невесты и поиски её героем, соткан из традиционных ситуаций сказочных и волшебно-рыцарских произведений, частью переиначенных и пародированных. Об историко-литературном значении поэмы великолепно сказал Белинский: «Выход в свет „Руслана и Людмилы“ и возбужденные этою поэмою толки и споры о классицизме и романтизме были эпохою обновления русской литературы».",Поэма
12,Александр Грин,https://www.100bestbooks.ru/item_info.php?id=540,Алые паруса,1916,1.26,5111,6482,"Александр Грин создал в своих произведениях свой особенный мир. В этом мире веет ветер дальних странствий, его населяют добрые, смелые, веселые люди. А в залитых солнцем гаванях с романтическими названиями — Лисс, Зурбаган, Гель-Гью — прекрасные девушки поджидают своих женихов. В этот мир — чуть приподнятый над нашим, одновременно фантастический и реальный, мы и приглашаем читателей.",Сказка
14,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=328,Приключения Гекльберри Финна,1884,1.53,3977,6085,"Герой этой повести умен, добр, умеет по-настоящему дружить и знает цену людям. Свободолюбие, самостоятельность и сообразительность сделали Гека Финна одним из самых любимых героев подростков разных стран.",Роман
15,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=44,Приключения Тома Сойера,1876,1.21,5001,6085,"Приключения Тома Сойера (англ. The Adventures Of Tom Sawyer) – замечательный, добрый и невероятно остроумный роман Марка Твена, на котором выросло не одно поколение детворы по всему миру. В книге рассказывается о проделках двух американских мальчишек. Писатель с большим мастерством рисует жизнь провинциального городка в Америке 40-х годов XIX века, что интересно, что вымышленному городу места действия автор дал имя… Санкт-Петербург. Интересный факт связан с процессом создания произведения. Сам Марк Твен утверждал в свое время, что это произведение было, по всей видимости, наиболее прогрессивным с точки зрения “процесса производства” – это первое литературное произведение, рукопись которого была напечатана на пишущей машинке (впрочем, не все исследователи с этим согласны).",Роман
33,Уильям Голдинг,https://www.100bestbooks.ru/item_info.php?id=470,Повелитель мух,1954,1.49,1494,2231,"Роман-антиутопия, повествующий о группе детей, оказавшихся на необитаемом острове после автокатастрофы. Автор раскрывает схему социального взаимодействия людей, у которых еще не сформировались понятия о добре- зле, справедливости и пр.  Порою эта незрелость приводит к неоправданной жестокости. При этом, все действие пронизано глубоким символизмом (жертвоприношение, своя ""Религия"" и т.д.) За этот роман Голдинг был удостоен Нобелевской премии по литературе.",Роман
34,Валентин Пикуль,https://www.100bestbooks.ru/item_info.php?id=5551,Мальчики с бантиками,1985,2.27,969,2205,"«Мальчики с бантиками» – автобиографическая повесть о жизни обитателей Соловецких островов в стенах Школы юнг, где автор выступает в роли главного героя под именем Савки Огурцова.",Автобиография
39,Рафаэль Сабатини,https://www.100bestbooks.ru/item_info.php?id=4171,Одиссея Капитана Блада,1922,1.1,1656,1835,"Осуждённый за преступление, которого он не совершал, и проданный в рабство своим же соотечественникам, он дерзко возвращает себе свободу. Перед ним трепещет все Карибское море, а он страдает при мысли о том, что «пират и убийца» обречён на презрение любимой девушки. И кто бы мог предположить, что человеку, поставившему себя вне закона, предложат кресло губернатора острова Ямайки?  «Потеряв ещё несколько драгоценных минут, батареи наконец открыли огонь. Прозвучал ужасающей силы бортовой залп «Арабеллы», поднимавшей все свои паруса. Взбешённые испанцы на мгновение увидели её красный корпус, освещённый огромной вспышкой огня. Скрип фалов утонул в грохоте залпа, и «Арабелла» исчезла, как призрак». Роман «Одиссея капитана Блада», оказался настолько популярен, что Сабатини написал еще две книги-продолжения: «Хроника капитана Блада» и «Удачи капитана Блада».",Детская литература
47,Диана Сеттерфилд,https://www.100bestbooks.ru/item_info.php?id=3243,Тринадцатая сказка,2006,1.47,436,641,"Впервые на русском – «Тринадцатая сказка» Дианы Сеттерфилд – признанный шедевр современной английской прозы, книга, открывшая для широкой публики жанр «неоготики» и заставившая англо-американских критиков заговорить о возвращении золотого века британского романа, овеянного именами Шарлотты Бронте и Дафны дю Морье. Дебютный роман скромной учительницы, права на который были куплены за небывалые для начинающего автора деньги (800 тысяч фунтов за британское издание, миллион долларов – за американское), обогнал по продажам бестселлеры последних лет, был моментально переведен на несколько десятков языков и удостоился от рецензентов почетного имени «новой „Джейн Эйр”».",Современная проза
